name,row,mean,se,distribution,lower_bound,upper_bound,ln_mean,ln_sd,description,source
prv_40_49_IHD_light,231,0.014814370184095746,0.002962874036819149,Direchlet,14.814370184095745,,,,,
prv_50_59_IHD_light,232,0.04819540150888796,0.009639080301777592,Direchlet,48.19540150888796,,,,,
prv_Over60_IHD_light,233,0.15371895535118468,0.030743791070236937,Direchlet,153.7189553511847,,,,,
prv_20_29_stroke_light,235,0.0026403359013182546,0.0005280671802636509,Direchlet,2.6403359013182546,,,,,
prv_30_39_stroke_light,236,0.004385849905404545,0.0008771699810809091,Direchlet,4.3858499054045454,,,,,
prv_40_49_stroke_light,237,0.008381251896199905,0.0016762503792399812,Direchlet,8.381251896199906,,,,,
prv_50_59_stroke_light,238,0.018452224652910913,0.0036904449305821827,Direchlet,18.452224652910914,,,,,
prv_Over60_stroke_light,239,0.06128832067271204,0.012257664134542408,Direchlet,61.28832067271204,,,,,
prv_20_29_COPD_light,241,0.02815489967648079,0.005630979935296158,Direchlet,28.154899676480788,,,,,
prv_30_39_COPD_light,242,0.047367323343784476,0.009473464668756896,Direchlet,47.36732334378448,,,,,
prv_40_49_COPD_light,243,0.08987411958115578,0.017974823916231158,Direchlet,89.87411958115578,,,,,
prv_50_59_COPD_light,244,0.22782025114273396,0.045564050228546794,Direchlet,227.82025114273395,,,,,
prv_Over60_COPD_light,245,0.7028955511765713,0.14057911023531428,Direchlet,702.8955511765713,,,,,
prv_20_29_lungcancer_light,247,1.7063267075581766e-05,3.412653415116353e-06,Direchlet,0.17063267075581764,,,,,
prv_30_39_lungcancer_light,248,0.0001246027617457961,2.492055234915922e-05,Direchlet,0.1246027617457961,,,,,
prv_40_49_lungcancer_light,249,0.0006342991445967048,0.00012685982891934096,Direchlet,0.6342991445967048,,,,,
prv_50_59_lungcancer_light,250,0.002670711093249004,0.0005341422186498009,Direchlet,2.670711093249004,,,,,
prv_Over60_lungcancer_light,251,0.011825407156765758,0.0023650814313531518,Direchlet,11.825407156765758,,,,,
prv_20_29_IHD_mod,255,0.000598545804335611,0.00011970916086712221,Direchlet,0.598545804335611,,,,,
prv_30_39_IHD_mod,256,0.004174167639067237,0.0008348335278134475,Direchlet,4.174167639067237,,,,,
prv_40_49_IHD_mod,257,0.01468596722636526,0.002937193445273052,Direchlet,14.685967226365259,,,,,
prv_50_59_IHD_mod,258,0.08017894479893584,0.01603578895978717,Direchlet,80.17894479893583,,,,,
prv_Over60_IHD_mod,259,0.20001730289702363,0.04000346057940473,Direchlet,200.01730289702363,,,,=B171*RR_moderate_smoker_IHD,
prv_20_29_stroke_mod,261,0.003463276752256145,0.000692655350451229,Direchlet,3.463276752256145,,,,,
prv_30_39_stroke_mod,262,0.0030887219034643467,0.0006177443806928694,Direchlet,3.088721903464347,,,,,
